S.N.,Date,No of Transactions,Max Price,Min Price,Closing Price,Traded Shares,Total Amount,Prev. Closing,Difference Rs.,% Change
79,2020-12-06,664,636,620,633,148276.00,93158756.00,623,10,1.61
80,2020-12-05,614,644,623,623,158242.00,100157792.00,644,-21,-3.26
81,2020-12-02,565,660,637,644,141764.00,91700630.00,653,-9,-1.38
82,2020-12-01,689,688,630,653,199988.00,129755038.00,632,21,3.32
83,2020-11-30,781,655,630,632,170189.00,108430082.00,647,-15,-2.32
84,2020-11-29,871,692,644,647,193860.00,128146664.00,660,-13,-1.97
85,2020-11-28,1256,678,626,660,311229.00,200999777.00,624,36,5.77
86,2020-11-25,1205,650,623,624,235735.00,149333909.00,634,-10,-1.58
87,2020-11-24,1889,640,605,634,309672.00,192996761.00,586,48,8.19
88,2020-11-23,2291,720,687,697,538774.00,373386505.00,687,10,1.46
89,2020-11-22,979,699,686,687,214571.00,147975808.00,691,-4,-0.58
90,2020-11-21,1102,694,671,691,259501.00,178025620.00,670,21,3.13
91,2020-11-18,979,683,664,670,232275.00,156080501.00,670,0,0
92,2020-11-17,1006,675,644,670,274516.00,181227572.00,644,26,4.04
93,2020-11-11,692,650,635,644,212901.00,137176113.00,642,2,0.31
94,2020-11-10,886,645,620,642,246848.00,156590427.00,619,23,3.72
95,2020-11-09,383,624,617,619,95856.00,59488516.00,618,1,0.16
96,2020-11-08,313,623,617,618,66336.00,41074321.00,619,-1,-0.16
97,2020-11-07,301,622,617,619,78936.00,48795948.00,618,1,0.16
98,2020-11-04,301,621,616,618,86880.00,53670034.00,619,-1,-0.16
99,2020-11-03,279,621,615,619,61952.00,38399020.00,619,0,0
100,2020-11-02,372,623,615,619,134689.00,83448967.00,618,1,0.16
101,2020-11-01,474,624,617,618,109064.00,67605201.00,622,-4,-0.64
102,2020-10-31,615,629,613,622,173339.00,107746680.00,620,2,0.32
103,2020-10-28,704,629,617,620,190125.00,118199396.00,617,3,0.49
104,2020-10-27,763,618,605,617,139393.00,85420572.00,605,12,1.98
105,2020-10-21,735,615,600,605,162894.00,98569835.00,605,0,0
106,2020-10-20,2503,634,602,605,399513.00,242957807.00,581,24,4.13
107,2020-10-19,159,582,575,581,35260.00,20398867.00,577,4,0.69
108,2020-10-18,116,579,574,577,17751.00,10218697.00,572,5,0.87
109,2020-10-17,182,585,572,572,28061.00,16125361.00,578,-6,-1.04
110,2020-10-14,219,607,577,578,40608.00,23500343.00,579,-1,-0.17
111,2020-10-13,175,587,575,579,32158.00,18576483.00,579,0,0
112,2020-10-12,229,591,578,579,49233.00,28571498.00,580,-1,-0.17
113,2020-10-11,383,587,575,580,87414.00,50811628.00,574,6,1.05
114,2020-10-10,314,582,571,574,73636.00,42495821.00,573,1,0.17
115,2020-10-07,270,589,571,573,52226.00,30106899.00,575,-2,-0.35
116,2020-10-06,304,577,572,575,66003.00,37901911.00,574,1,0.17
117,2020-10-05,230,580,574,574,42913.00,24711183.00,577,-3,-0.52
118,2020-10-04,262,589,577,577,54309.00,31460298.00,580,-3,-0.52
119,2020-10-03,308,588,579,580,66773.00,38908296.00,579,1,0.17
